Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
40	train	1.07, 1.40, 1.40, 1.09	0.99, 0.00, 0.00, 0.89	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
40	valid	1.10, 1.42, 1.42, 1.14	0.96, 0.00, 0.00, 0.80	0.44, 1.00, 1.00, 0.83	0.92, 0.90, 0.92, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.84, 0.82, 0.85
41	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
41	valid	1.09, 1.42, 1.42, 1.16	0.97, 0.00, 0.00, 0.73	0.38, 1.00, 1.00, 0.87	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.82, 0.81, 0.83
42	train	1.08, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
42	valid	1.07, 1.42, 1.41, 1.19	0.98, 0.00, 0.00, 0.66	0.29, 1.00, 1.00, 0.93	0.94, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
43	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
43	valid	1.08, 1.41, 1.41, 1.17	0.98, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.90	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.81, 0.83
44	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
44	valid	1.08, 1.42, 1.42, 1.19	0.98, 0.00, 0.00, 0.67	0.30, 1.00, 1.00, 0.93	0.94, 0.92, 0.93, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
45	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
45	valid	1.09, 1.41, 1.41, 1.20	0.99, 0.00, 0.00, 0.65	0.28, 1.00, 1.00, 0.94	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.81, 0.79, 0.81
46	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
46	valid	1.08, 1.42, 1.42, 1.18	0.98, 0.00, 0.00, 0.69	0.31, 1.00, 1.00, 0.92	0.94, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
47	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.94, 0.94
47	valid	1.12, 1.41, 1.41, 1.16	0.97, 0.00, 0.00, 0.74	0.36, 1.00, 1.00, 0.88	0.92, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.81, 0.83
48	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.94
48	valid	1.10, 1.41, 1.41, 1.16	0.97, 0.00, 0.00, 0.75	0.37, 1.00, 1.00, 0.88	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.84, 0.81, 0.84
49	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.94
49	valid	1.09, 1.42, 1.42, 1.16	0.97, 0.00, 0.00, 0.75	0.38, 1.00, 1.00, 0.88	0.93, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.84, 0.81, 0.84
50	train	1.07, 1.40, 1.40, 1.08	1.00, 0.00, 0.00, 0.90	0.33, 1.00, 1.00, 0.97	0.95, 0.94, 0.95, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.95, 0.94, 0.94
